variant,family,condition,successes,n,rate,status,missing_episodes
pi05_baseline,MoveCube,no-history,19,50,0.38,complete,
pi05_baseline,RouteStick,no-history,5,50,0.1,complete,
pi05_baseline,VideoUnmask,no-history,11,50,0.22,complete,
pi05_baseline,VideoUnmaskSwap,no-history,10,50,0.2,complete,
pi05_baseline,VideoRepick,no-history,0,50,0.0,complete,
pi05_baseline,VideoPlaceButton,no-history,16,50,0.32,complete,
pi05_baseline,VideoPlaceOrder,no-history,14,50,0.28,complete,
pi05_baseline,InsertPeg,no-history,1,50,0.02,complete,
pi05_baseline,PatternLock,no-history,2,50,0.04,complete,
perceptual-framesamp-modul,MoveCube,no-history,18,50,0.36,complete,
perceptual-framesamp-modul,MoveCube,k0,43,50,0.86,complete,
perceptual-framesamp-modul,MoveCube,k1,33,50,0.66,complete,
perceptual-framesamp-modul,MoveCube,k3,25,50,0.5,complete,
perceptual-framesamp-modul,MoveCube,k7,16,50,0.32,complete,
perceptual-framesamp-modul,RouteStick,no-history,1,50,0.02,complete,
perceptual-framesamp-modul,RouteStick,k0,34,50,0.68,complete,
perceptual-framesamp-modul,RouteStick,k1,31,50,0.62,complete,
perceptual-framesamp-modul,RouteStick,k3,15,50,0.3,complete,
perceptual-framesamp-modul,RouteStick,k7,7,50,0.14,complete,
perceptual-framesamp-modul,VideoUnmask,no-history,19,50,0.38,complete,
perceptual-framesamp-modul,VideoUnmask,k0,18,50,0.36,complete,
perceptual-framesamp-modul,VideoUnmask,k1,17,50,0.34,complete,
perceptual-framesamp-modul,VideoUnmask,k3,18,50,0.36,complete,
perceptual-framesamp-modul,VideoUnmask,k7,16,50,0.32,complete,
perceptual-framesamp-modul,VideoUnmaskSwap,no-history,16,50,0.32,complete,
perceptual-framesamp-modul,VideoUnmaskSwap,k0,13,50,0.26,complete,
perceptual-framesamp-modul,VideoUnmaskSwap,k1,10,50,0.2,complete,
perceptual-framesamp-modul,VideoUnmaskSwap,k3,13,50,0.26,complete,
perceptual-framesamp-modul,VideoUnmaskSwap,k7,13,50,0.26,complete,
perceptual-framesamp-modul,VideoRepick,no-history,0,50,0.0,complete,
perceptual-framesamp-modul,VideoRepick,k0,15,50,0.3,complete,
perceptual-framesamp-modul,VideoRepick,k1,14,50,0.28,complete,
perceptual-framesamp-modul,VideoRepick,k3,9,50,0.18,complete,
perceptual-framesamp-modul,VideoRepick,k7,5,50,0.1,complete,
perceptual-framesamp-modul,VideoPlaceButton,no-history,16,50,0.32,complete,
perceptual-framesamp-modul,VideoPlaceButton,k0,30,50,0.6,complete,
perceptual-framesamp-modul,VideoPlaceButton,k1,27,50,0.54,complete,
perceptual-framesamp-modul,VideoPlaceButton,k3,26,50,0.52,complete,
perceptual-framesamp-modul,VideoPlaceButton,k7,12,50,0.24,complete,
perceptual-framesamp-modul,VideoPlaceOrder,no-history,8,50,0.16,complete,
perceptual-framesamp-modul,VideoPlaceOrder,k0,20,50,0.4,complete,
perceptual-framesamp-modul,VideoPlaceOrder,k1,19,50,0.38,complete,
perceptual-framesamp-modul,VideoPlaceOrder,k3,18,50,0.36,complete,
perceptual-framesamp-modul,VideoPlaceOrder,k7,14,50,0.28,complete,
perceptual-framesamp-modul,InsertPeg,no-history,1,50,0.02,complete,
perceptual-framesamp-modul,InsertPeg,k0,4,50,0.08,complete,
perceptual-framesamp-modul,InsertPeg,k1,1,50,0.02,complete,
perceptual-framesamp-modul,InsertPeg,k3,1,50,0.02,complete,
perceptual-framesamp-modul,InsertPeg,k7,0,50,0.0,complete,
perceptual-framesamp-modul,PatternLock,no-history,3,50,0.06,complete,
