family,variant,condition,successes,n,rate,ci_low,ci_high
InsertPeg,pi05_baseline,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-modul,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-modul,k0,4,50,0.08,0.031549003255790686,0.18838502545063704
InsertPeg,perceptual-framesamp-modul,k1,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-modul,k3,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-modul,k7,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-modul,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-modul,k0,4,50,0.08,0.031549003255790686,0.18838502545063704
InsertPeg,perceptual-tokendrop-modul,k1,3,50,0.06,0.020614596364630478,0.16217343370877002
InsertPeg,perceptual-tokendrop-modul,k3,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-tokendrop-modul,k7,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-context,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-context,k0,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-framesamp-context,k1,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-framesamp-context,k3,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-context,k7,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-framesamp-expert,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-framesamp-expert,k0,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-expert,k1,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-expert,k3,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-expert,k7,3,50,0.06,0.020614596364630478,0.16217343370877002
InsertPeg,perceptual-tokendrop-context,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-context,k0,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-context,k1,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-context,k3,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-context,k7,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,k0,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,k1,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,k3,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,k7,0,50,0.0,0.0,0.07135003417431873
InsertPeg,recurrent-ttt-expert,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,recurrent-ttt-expert,k0,2,50,0.04,0.011038652660826577,0.13460337877954667
