variant,condition,successes,n,rate,no_history_rate,lift,lift_ci_low,lift_ci_high
perceptual-framesamp-modul,k0,204,450,0.4533333333333333,0.18222222222222223,0.2711111111111111,0.21290651704054767,0.3293157051816745
perceptual-framesamp-modul,k1,173,450,0.3844444444444444,0.18222222222222223,0.2022222222222222,0.14484302387697268,0.2596014205674717
perceptual-framesamp-modul,k3,135,450,0.3,0.18222222222222223,0.11777777777777776,0.06241632311591856,0.17313923243963697
perceptual-framesamp-modul,k7,87,450,0.19333333333333333,0.18222222222222223,0.0111111111111111,-0.0399135813915698,0.062135803613792
perceptual-tokendrop-modul,k0,159,450,0.35333333333333333,0.1711111111111111,0.18222222222222223,0.12599599057872213,0.23844845386572233
perceptual-tokendrop-modul,k1,139,450,0.3088888888888889,0.1711111111111111,0.13777777777777778,0.08270300680408046,0.1928525487514751
perceptual-tokendrop-modul,k3,106,450,0.23555555555555555,0.1711111111111111,0.06444444444444444,0.012022740230423205,0.11686614865846567
perceptual-tokendrop-modul,k7,89,450,0.19777777777777777,0.1711111111111111,0.026666666666666672,-0.02398195043455454,0.07731528376788788
perceptual-framesamp-context,k0,120,450,0.26666666666666666,0.17777777777777778,0.08888888888888888,0.034876877828197005,0.14290089994958075
perceptual-framesamp-context,k1,84,450,0.18666666666666668,0.17777777777777778,0.00888888888888889,-0.041548703553781235,0.05932648133155902
perceptual-framesamp-context,k3,84,450,0.18666666666666668,0.17777777777777778,0.00888888888888889,-0.041548703553781235,0.05932648133155902
perceptual-framesamp-context,k7,80,450,0.17777777777777778,0.17777777777777778,0.0,-0.04995720747675126,0.04995720747675126
perceptual-framesamp-expert,k0,122,450,0.27111111111111114,0.17555555555555555,0.09555555555555559,0.04149478398022922,0.14961632713088197
perceptual-framesamp-expert,k1,94,450,0.2088888888888889,0.17555555555555555,0.033333333333333354,-0.018109365279818414,0.08477603194648511
perceptual-framesamp-expert,k3,88,450,0.19555555555555557,0.17555555555555555,0.020000000000000018,-0.030779543314255864,0.0707795433142559
perceptual-framesamp-expert,k7,88,450,0.19555555555555557,0.17555555555555555,0.020000000000000018,-0.030779543314255864,0.0707795433142559
perceptual-tokendrop-context,k0,103,450,0.2288888888888889,0.13777777777777778,0.09111111111111111,0.04090263979357451,0.14131958242864773
perceptual-tokendrop-context,k1,86,450,0.19111111111111112,0.13777777777777778,0.053333333333333344,0.005023522000062321,0.10164314466660437
perceptual-tokendrop-context,k3,69,450,0.15333333333333332,0.13777777777777778,0.015555555555555545,-0.030514153895924157,0.061625265007035246
perceptual-tokendrop-context,k7,59,450,0.13111111111111112,0.13777777777777778,-0.006666666666666654,-0.051238754975847615,0.03790542164251431
perceptual-tokendrop-expert,k0,123,450,0.2733333333333333,0.1688888888888889,0.10444444444444442,0.050649463826887293,0.15823942506200156
perceptual-tokendrop-expert,k1,91,450,0.20222222222222222,0.1688888888888889,0.033333333333333326,-0.017416313768225763,0.08408298043489242
perceptual-tokendrop-expert,k3,70,450,0.15555555555555556,0.1688888888888889,-0.013333333333333336,-0.061496316620522726,0.034829649953856054
perceptual-tokendrop-expert,k7,63,450,0.14,0.1688888888888889,-0.02888888888888888,-0.07607072352776512,0.018292945749987348
recurrent-ttt-expert,k0,81,450,0.18,0.16,0.01999999999999999,-0.02906528983575525,0.06906528983575523
recurrent-ttt-expert,k1,74,450,0.16444444444444445,0.16,0.004444444444444445,-0.04372554080298943,0.05261442969187832
recurrent-ttt-expert,k3,73,450,0.1622222222222222,0.16,0.0022222222222222088,-0.04581499005650666,0.05025943450095108
recurrent-ttt-expert,k7,70,450,0.15555555555555556,0.16,-0.004444444444444445,-0.05207580730675097,0.043186918417862076
recurrent-ttt-context,k0,69,450,0.15333333333333332,0.1688888888888889,-0.015555555555555572,-0.0635822354750315,0.03247112436392035
recurrent-ttt-context,k1,73,450,0.1622222222222222,0.1688888888888889,-0.006666666666666682,-0.05523105685652731,0.041897723523193944
recurrent-ttt-context,k3,79,450,0.17555555555555555,0.1688888888888889,0.006666666666666654,-0.04266767797873449,0.0560010113120678
recurrent-ttt-context,k7,63,450,0.14,0.1688888888888889,-0.02888888888888888,-0.07607072352776512,0.018292945749987348
