variant,difficulty,successes,n,rate
pi05_baseline,easy,49,234,0.2094017094017094
pi05_baseline,medium,15,108,0.1388888888888889
pi05_baseline,hard,14,108,0.12962962962962962
perceptual-framesamp-modul,easy,445,1170,0.3803418803418803
perceptual-framesamp-modul,medium,154,540,0.2851851851851852
perceptual-framesamp-modul,hard,82,540,0.15185185185185185
perceptual-tokendrop-modul,easy,383,1170,0.32735042735042735
perceptual-tokendrop-modul,medium,125,540,0.23148148148148148
perceptual-tokendrop-modul,hard,62,540,0.11481481481481481
recurrent-ttt-expert,easy,215,1170,0.18376068376068377
recurrent-ttt-expert,medium,81,540,0.15
recurrent-ttt-expert,hard,74,540,0.13703703703703704
perceptual-framesamp-context,easy,287,1170,0.2452991452991453
perceptual-framesamp-context,medium,100,540,0.18518518518518517
perceptual-framesamp-context,hard,61,540,0.11296296296296296
perceptual-framesamp-expert,easy,277,1170,0.23675213675213674
perceptual-framesamp-expert,medium,116,540,0.21481481481481482
perceptual-framesamp-expert,hard,78,540,0.14444444444444443
perceptual-tokendrop-context,easy,237,1170,0.20256410256410257
perceptual-tokendrop-context,medium,76,540,0.14074074074074075
perceptual-tokendrop-context,hard,66,540,0.12222222222222222
perceptual-tokendrop-expert,easy,268,1170,0.22905982905982905
perceptual-tokendrop-expert,medium,81,540,0.15
perceptual-tokendrop-expert,hard,74,540,0.13703703703703704
recurrent-ttt-context,easy,213,1170,0.18205128205128204
recurrent-ttt-context,medium,78,540,0.14444444444444443
recurrent-ttt-context,hard,69,540,0.12777777777777777
