family,variant,condition,successes,n,rate,status
MoveCube,pi05_baseline,no-history,19,50,0.38,complete
MoveCube,perceptual-framesamp-modul,no-history,18,50,0.36,complete
MoveCube,perceptual-framesamp-modul,k0,43,50,0.86,complete
MoveCube,perceptual-framesamp-modul,k1,33,50,0.66,complete
MoveCube,perceptual-framesamp-modul,k3,25,50,0.5,complete
MoveCube,perceptual-framesamp-modul,k7,16,50,0.32,complete
MoveCube,perceptual-tokendrop-modul,no-history,21,50,0.42,complete
MoveCube,perceptual-tokendrop-modul,k0,27,50,0.54,complete
MoveCube,perceptual-tokendrop-modul,k1,23,50,0.46,complete
MoveCube,perceptual-tokendrop-modul,k3,23,50,0.46,complete
MoveCube,perceptual-tokendrop-modul,k7,18,50,0.36,complete
MoveCube,recurrent-ttt-expert,no-history,17,50,0.34,complete
MoveCube,recurrent-ttt-expert,k0,23,50,0.46,complete
MoveCube,recurrent-ttt-expert,k1,16,50,0.32,complete
MoveCube,recurrent-ttt-expert,k3,18,50,0.36,complete
MoveCube,recurrent-ttt-expert,k7,16,50,0.32,complete
MoveCube,perceptual-framesamp-context,no-history,22,50,0.44,complete
MoveCube,perceptual-framesamp-context,k0,38,50,0.76,complete
MoveCube,perceptual-framesamp-context,k1,20,50,0.4,complete
MoveCube,perceptual-framesamp-context,k3,15,50,0.3,complete
MoveCube,perceptual-framesamp-context,k7,16,50,0.32,complete
MoveCube,perceptual-framesamp-expert,no-history,23,50,0.46,complete
MoveCube,perceptual-framesamp-expert,k0,44,50,0.88,complete
MoveCube,perceptual-framesamp-expert,k1,17,50,0.34,complete
MoveCube,perceptual-framesamp-expert,k3,14,50,0.28,complete
MoveCube,perceptual-framesamp-expert,k7,18,50,0.36,complete
MoveCube,perceptual-tokendrop-context,no-history,13,50,0.26,complete
MoveCube,perceptual-tokendrop-context,k0,39,50,0.78,complete
MoveCube,perceptual-tokendrop-context,k1,21,50,0.42,complete
MoveCube,perceptual-tokendrop-context,k3,19,50,0.38,complete
MoveCube,perceptual-tokendrop-context,k7,16,50,0.32,complete
MoveCube,perceptual-tokendrop-expert,no-history,20,50,0.4,complete
MoveCube,perceptual-tokendrop-expert,k0,45,50,0.9,complete
MoveCube,perceptual-tokendrop-expert,k1,20,50,0.4,complete
MoveCube,perceptual-tokendrop-expert,k3,10,50,0.2,complete
MoveCube,perceptual-tokendrop-expert,k7,7,50,0.14,complete
MoveCube,recurrent-ttt-context,no-history,17,50,0.34,complete
MoveCube,recurrent-ttt-context,k0,14,50,0.28,complete
MoveCube,recurrent-ttt-context,k1,15,50,0.3,complete
