variant,condition,successes,n,rate
pi05_baseline,no-history,78,450,0.17333333333333334
perceptual-framesamp-modul,no-history,82,450,0.18222222222222223
perceptual-framesamp-modul,k0,204,450,0.4533333333333333
perceptual-framesamp-modul,k1,173,450,0.3844444444444444
perceptual-framesamp-modul,k3,135,450,0.3
perceptual-framesamp-modul,k7,87,450,0.19333333333333333
perceptual-tokendrop-modul,no-history,77,450,0.1711111111111111
perceptual-tokendrop-modul,k0,159,450,0.35333333333333333
perceptual-tokendrop-modul,k1,139,450,0.3088888888888889
perceptual-tokendrop-modul,k3,106,450,0.23555555555555555
perceptual-tokendrop-modul,k7,89,450,0.19777777777777777
recurrent-ttt-expert,no-history,72,450,0.16
recurrent-ttt-expert,k0,81,450,0.18
recurrent-ttt-expert,k1,74,450,0.16444444444444445
recurrent-ttt-expert,k3,73,450,0.1622222222222222
recurrent-ttt-expert,k7,70,450,0.15555555555555556
perceptual-framesamp-context,no-history,80,450,0.17777777777777778
perceptual-framesamp-context,k0,120,450,0.26666666666666666
perceptual-framesamp-context,k1,84,450,0.18666666666666668
perceptual-framesamp-context,k3,84,450,0.18666666666666668
perceptual-framesamp-context,k7,80,450,0.17777777777777778
perceptual-framesamp-expert,no-history,79,450,0.17555555555555555
perceptual-framesamp-expert,k0,122,450,0.27111111111111114
perceptual-framesamp-expert,k1,94,450,0.2088888888888889
perceptual-framesamp-expert,k3,88,450,0.19555555555555557
perceptual-framesamp-expert,k7,88,450,0.19555555555555557
perceptual-tokendrop-context,no-history,62,450,0.13777777777777778
perceptual-tokendrop-context,k0,103,450,0.2288888888888889
perceptual-tokendrop-context,k1,86,450,0.19111111111111112
perceptual-tokendrop-context,k3,69,450,0.15333333333333332
perceptual-tokendrop-context,k7,59,450,0.13111111111111112
perceptual-tokendrop-expert,no-history,76,450,0.1688888888888889
perceptual-tokendrop-expert,k0,123,450,0.2733333333333333
perceptual-tokendrop-expert,k1,91,450,0.20222222222222222
perceptual-tokendrop-expert,k3,70,450,0.15555555555555556
perceptual-tokendrop-expert,k7,63,450,0.14
recurrent-ttt-context,no-history,76,450,0.1688888888888889
recurrent-ttt-context,k0,69,450,0.15333333333333332
recurrent-ttt-context,k1,73,450,0.1622222222222222
recurrent-ttt-context,k3,79,450,0.17555555555555555
recurrent-ttt-context,k7,63,450,0.14
